扫描角度,0°,45°,90°,135°
energy,0.1593340086483896,0.13959166265032,0.16672222145159007,0.13689370034982756
entropy,2.529682600974866,2.6922397909772284,2.5212229113198843,2.7051439408313116
deficit,0.7911557901882885,0.7356244071698523,0.7980714114667856,0.7281442614800059
correlation,0.9304999372863066,0.8784017998973337,0.9175768815670571,0.8673147254409138
contrast,0.6772937293729373,1.1903780982125056,0.8012896433741281,1.2987573925177751
